delta = 0.000000  ,  alpha = 0.100000 ---- MSE = 0.000487
delta = 0.000000  ,  alpha = 0.050000 ---- MSE = 0.000594
delta = 0.000000  ,  alpha = 0.010000 ---- MSE = 0.000934
delta = 0.000000  ,  alpha = 0.005000 ---- MSE = 0.000998
delta = 0.000000  ,  alpha = 0.001000 ---- MSE = 0.002089
delta = 0.000000  ,  alpha = 0.000500 ---- MSE = 0.002833
delta = 0.000000  ,  alpha = 0.000100 ---- MSE = 0.037981
delta = 0.000000  ,  alpha = 0.000050 ---- MSE = 0.085429
delta = 0.000000  ,  alpha = 0.000010 ---- MSE = 0.162351
delta = 0.100000  ,  alpha = 0.100000 ---- MSE = 0.000504
delta = 0.100000  ,  alpha = 0.050000 ---- MSE = 0.000613
delta = 0.100000  ,  alpha = 0.010000 ---- MSE = 0.000929
delta = 0.100000  ,  alpha = 0.005000 ---- MSE = 0.000984
delta = 0.100000  ,  alpha = 0.001000 ---- MSE = 0.001915
delta = 0.100000  ,  alpha = 0.000500 ---- MSE = 0.002565
delta = 0.100000  ,  alpha = 0.000100 ---- MSE = 0.044629
delta = 0.100000  ,  alpha = 0.000050 ---- MSE = 0.091737
delta = 0.100000  ,  alpha = 0.000010 ---- MSE = 0.164451
delta = 0.050000  ,  alpha = 0.100000 ---- MSE = 0.000495
delta = 0.050000  ,  alpha = 0.050000 ---- MSE = 0.000603
delta = 0.050000  ,  alpha = 0.010000 ---- MSE = 0.000931
delta = 0.050000  ,  alpha = 0.005000 ---- MSE = 0.000989
delta = 0.050000  ,  alpha = 0.001000 ---- MSE = 0.001982
delta = 0.050000  ,  alpha = 0.000500 ---- MSE = 0.002622
delta = 0.050000  ,  alpha = 0.000100 ---- MSE = 0.041318
delta = 0.050000  ,  alpha = 0.000050 ---- MSE = 0.088638
delta = 0.050000  ,  alpha = 0.000010 ---- MSE = 0.163428
delta = 0.010000  ,  alpha = 0.100000 ---- MSE = 0.000488
delta = 0.010000  ,  alpha = 0.050000 ---- MSE = 0.000596
delta = 0.010000  ,  alpha = 0.010000 ---- MSE = 0.000933
delta = 0.010000  ,  alpha = 0.005000 ---- MSE = 0.000996
delta = 0.010000  ,  alpha = 0.001000 ---- MSE = 0.002064
delta = 0.010000  ,  alpha = 0.000500 ---- MSE = 0.002778
delta = 0.010000  ,  alpha = 0.000100 ---- MSE = 0.038650
delta = 0.010000  ,  alpha = 0.000050 ---- MSE = 0.086080
delta = 0.010000  ,  alpha = 0.000010 ---- MSE = 0.162571
delta = 0.005000  ,  alpha = 0.100000 ---- MSE = 0.000488
delta = 0.005000  ,  alpha = 0.050000 ---- MSE = 0.000595
delta = 0.005000  ,  alpha = 0.010000 ---- MSE = 0.000934
delta = 0.005000  ,  alpha = 0.005000 ---- MSE = 0.000997
delta = 0.005000  ,  alpha = 0.001000 ---- MSE = 0.002076
delta = 0.005000  ,  alpha = 0.000500 ---- MSE = 0.002804
delta = 0.005000  ,  alpha = 0.000100 ---- MSE = 0.038316
delta = 0.005000  ,  alpha = 0.000050 ---- MSE = 0.085755
delta = 0.005000  ,  alpha = 0.000010 ---- MSE = 0.162461
delta = 0.001000  ,  alpha = 0.100000 ---- MSE = 0.000487
delta = 0.001000  ,  alpha = 0.050000 ---- MSE = 0.000594
delta = 0.001000  ,  alpha = 0.010000 ---- MSE = 0.000934
delta = 0.001000  ,  alpha = 0.005000 ---- MSE = 0.000998
delta = 0.001000  ,  alpha = 0.001000 ---- MSE = 0.002086
delta = 0.001000  ,  alpha = 0.000500 ---- MSE = 0.002827
delta = 0.001000  ,  alpha = 0.000100 ---- MSE = 0.038048
delta = 0.001000  ,  alpha = 0.000050 ---- MSE = 0.085494
delta = 0.001000  ,  alpha = 0.000010 ---- MSE = 0.162373
delta = 0.000500  ,  alpha = 0.100000 ---- MSE = 0.000487
delta = 0.000500  ,  alpha = 0.050000 ---- MSE = 0.000594
delta = 0.000500  ,  alpha = 0.010000 ---- MSE = 0.000934
delta = 0.000500  ,  alpha = 0.005000 ---- MSE = 0.000998
delta = 0.000500  ,  alpha = 0.001000 ---- MSE = 0.002087
delta = 0.000500  ,  alpha = 0.000500 ---- MSE = 0.002830
delta = 0.000500  ,  alpha = 0.000100 ---- MSE = 0.038015
delta = 0.000500  ,  alpha = 0.000050 ---- MSE = 0.085462
delta = 0.000500  ,  alpha = 0.000010 ---- MSE = 0.162362
delta = 0.000100  ,  alpha = 0.100000 ---- MSE = 0.000487
delta = 0.000100  ,  alpha = 0.050000 ---- MSE = 0.000594
delta = 0.000100  ,  alpha = 0.010000 ---- MSE = 0.000934
delta = 0.000100  ,  alpha = 0.005000 ---- MSE = 0.000998
delta = 0.000100  ,  alpha = 0.001000 ---- MSE = 0.002088
delta = 0.000100  ,  alpha = 0.000500 ---- MSE = 0.002832
delta = 0.000100  ,  alpha = 0.000100 ---- MSE = 0.037988
delta = 0.000100  ,  alpha = 0.000050 ---- MSE = 0.085436
delta = 0.000100  ,  alpha = 0.000010 ---- MSE = 0.162353
delta = 0.000050  ,  alpha = 0.100000 ---- MSE = 0.000487
delta = 0.000050  ,  alpha = 0.050000 ---- MSE = 0.000594
