delta = 0.000000  ,  alpha = 0.100000 ---- MSE = 0.000603
delta = 0.000000  ,  alpha = 0.050000 ---- MSE = 0.001014
delta = 0.000000  ,  alpha = 0.010000 ---- MSE = 0.001928
delta = 0.000000  ,  alpha = 0.005000 ---- MSE = 0.001958
delta = 0.000000  ,  alpha = 0.001000 ---- MSE = 0.001782
delta = 0.000000  ,  alpha = 0.000500 ---- MSE = 0.002569
delta = 0.000000  ,  alpha = 0.000100 ---- MSE = 0.037724
delta = 0.000000  ,  alpha = 0.000050 ---- MSE = 0.083851
delta = 0.000000  ,  alpha = 0.000010 ---- MSE = 0.161442
delta = 0.100000  ,  alpha = 0.100000 ---- MSE = 0.000659
delta = 0.100000  ,  alpha = 0.050000 ---- MSE = 0.001076
delta = 0.100000  ,  alpha = 0.010000 ---- MSE = 0.001914
delta = 0.100000  ,  alpha = 0.005000 ---- MSE = 0.001933
delta = 0.100000  ,  alpha = 0.001000 ---- MSE = 0.002052
delta = 0.100000  ,  alpha = 0.000500 ---- MSE = 0.003045
delta = 0.100000  ,  alpha = 0.000100 ---- MSE = 0.044266
delta = 0.100000  ,  alpha = 0.000050 ---- MSE = 0.090175
delta = 0.100000  ,  alpha = 0.000010 ---- MSE = 0.163604
delta = 0.050000  ,  alpha = 0.100000 ---- MSE = 0.000631
delta = 0.050000  ,  alpha = 0.050000 ---- MSE = 0.001045
delta = 0.050000  ,  alpha = 0.010000 ---- MSE = 0.001920
delta = 0.050000  ,  alpha = 0.005000 ---- MSE = 0.001942
delta = 0.050000  ,  alpha = 0.001000 ---- MSE = 0.001905
delta = 0.050000  ,  alpha = 0.000500 ---- MSE = 0.002754
delta = 0.050000  ,  alpha = 0.000100 ---- MSE = 0.041007
delta = 0.050000  ,  alpha = 0.000050 ---- MSE = 0.087067
delta = 0.050000  ,  alpha = 0.000010 ---- MSE = 0.162550
delta = 0.010000  ,  alpha = 0.100000 ---- MSE = 0.000609
delta = 0.010000  ,  alpha = 0.050000 ---- MSE = 0.001020
delta = 0.010000  ,  alpha = 0.010000 ---- MSE = 0.001927
delta = 0.010000  ,  alpha = 0.005000 ---- MSE = 0.001954
delta = 0.010000  ,  alpha = 0.001000 ---- MSE = 0.001805
delta = 0.010000  ,  alpha = 0.000500 ---- MSE = 0.002597
delta = 0.010000  ,  alpha = 0.000100 ---- MSE = 0.038382
delta = 0.010000  ,  alpha = 0.000050 ---- MSE = 0.084503
delta = 0.010000  ,  alpha = 0.000010 ---- MSE = 0.161668
delta = 0.005000  ,  alpha = 0.100000 ---- MSE = 0.000606
delta = 0.005000  ,  alpha = 0.050000 ---- MSE = 0.001017
delta = 0.005000  ,  alpha = 0.010000 ---- MSE = 0.001928
delta = 0.005000  ,  alpha = 0.005000 ---- MSE = 0.001956
delta = 0.005000  ,  alpha = 0.001000 ---- MSE = 0.001793
delta = 0.005000  ,  alpha = 0.000500 ---- MSE = 0.002582
delta = 0.005000  ,  alpha = 0.000100 ---- MSE = 0.038053
delta = 0.005000  ,  alpha = 0.000050 ---- MSE = 0.084177
delta = 0.005000  ,  alpha = 0.000010 ---- MSE = 0.161555
delta = 0.001000  ,  alpha = 0.100000 ---- MSE = 0.000604
delta = 0.001000  ,  alpha = 0.050000 ---- MSE = 0.001014
delta = 0.001000  ,  alpha = 0.010000 ---- MSE = 0.001928
delta = 0.001000  ,  alpha = 0.005000 ---- MSE = 0.001958
delta = 0.001000  ,  alpha = 0.001000 ---- MSE = 0.001784
delta = 0.001000  ,  alpha = 0.000500 ---- MSE = 0.002571
delta = 0.001000  ,  alpha = 0.000100 ---- MSE = 0.037789
delta = 0.001000  ,  alpha = 0.000050 ---- MSE = 0.083916
delta = 0.001000  ,  alpha = 0.000010 ---- MSE = 0.161464
delta = 0.000500  ,  alpha = 0.100000 ---- MSE = 0.000604
delta = 0.000500  ,  alpha = 0.050000 ---- MSE = 0.001014
delta = 0.000500  ,  alpha = 0.010000 ---- MSE = 0.001928
delta = 0.000500  ,  alpha = 0.005000 ---- MSE = 0.001958
