delta = 0.000000  ,  alpha = 0.100000 ---- MSE = 0.002191
delta = 0.000000  ,  alpha = 0.050000 ---- MSE = 0.002474
delta = 0.000000  ,  alpha = 0.010000 ---- MSE = 0.007831
delta = 0.000000  ,  alpha = 0.005000 ---- MSE = 0.014649
delta = 0.000000  ,  alpha = 0.001000 ---- MSE = 0.034514
delta = 0.000000  ,  alpha = 0.000500 ---- MSE = 0.041485
delta = 0.000000  ,  alpha = 0.000100 ---- MSE = 0.061719
delta = 0.000000  ,  alpha = 0.000050 ---- MSE = 0.068051
delta = 0.000000  ,  alpha = 0.000010 ---- MSE = 0.074557
delta = 0.100000  ,  alpha = 0.100000 ---- MSE = 0.003547
delta = 0.100000  ,  alpha = 0.050000 ---- MSE = 0.007178
delta = 0.100000  ,  alpha = 0.010000 ---- MSE = 0.034863
delta = 0.100000  ,  alpha = 0.005000 ---- MSE = 0.059340
delta = 0.100000  ,  alpha = 0.001000 ---- MSE = 0.143505
delta = 0.100000  ,  alpha = 0.000500 ---- MSE = 0.206828
delta = 0.100000  ,  alpha = 0.000100 ---- MSE = 0.414110
delta = 0.100000  ,  alpha = 0.000050 ---- MSE = 0.475337
delta = 0.100000  ,  alpha = 0.000010 ---- MSE = 0.536631
delta = 0.050000  ,  alpha = 0.100000 ---- MSE = 0.002500
delta = 0.050000  ,  alpha = 0.050000 ---- MSE = 0.003996
delta = 0.050000  ,  alpha = 0.010000 ---- MSE = 0.018525
delta = 0.050000  ,  alpha = 0.005000 ---- MSE = 0.032927
delta = 0.050000  ,  alpha = 0.001000 ---- MSE = 0.079200
delta = 0.050000  ,  alpha = 0.000500 ---- MSE = 0.107373
delta = 0.050000  ,  alpha = 0.000100 ---- MSE = 0.196735
delta = 0.050000  ,  alpha = 0.000050 ---- MSE = 0.223448
delta = 0.050000  ,  alpha = 0.000010 ---- MSE = 0.250360
delta = 0.010000  ,  alpha = 0.100000 ---- MSE = 0.002194
delta = 0.010000  ,  alpha = 0.050000 ---- MSE = 0.002645
delta = 0.010000  ,  alpha = 0.010000 ---- MSE = 0.009519
delta = 0.010000  ,  alpha = 0.005000 ---- MSE = 0.017654
delta = 0.010000  ,  alpha = 0.001000 ---- MSE = 0.041881
delta = 0.010000  ,  alpha = 0.000500 ---- MSE = 0.051977
delta = 0.010000  ,  alpha = 0.000100 ---- MSE = 0.082134
delta = 0.010000  ,  alpha = 0.000050 ---- MSE = 0.091411
delta = 0.010000  ,  alpha = 0.000010 ---- MSE = 0.100880
delta = 0.005000  ,  alpha = 0.100000 ---- MSE = 0.002189
delta = 0.005000  ,  alpha = 0.050000 ---- MSE = 0.002551
delta = 0.005000  ,  alpha = 0.010000 ---- MSE = 0.008647
delta = 0.005000  ,  alpha = 0.005000 ---- MSE = 0.016111
delta = 0.005000  ,  alpha = 0.001000 ---- MSE = 0.038099
delta = 0.005000  ,  alpha = 0.000500 ---- MSE = 0.046563
delta = 0.005000  ,  alpha = 0.000100 ---- MSE = 0.071515
delta = 0.005000  ,  alpha = 0.000050 ---- MSE = 0.079249
delta = 0.005000  ,  alpha = 0.000010 ---- MSE = 0.087166
delta = 0.001000  ,  alpha = 0.100000 ---- MSE = 0.002190
delta = 0.001000  ,  alpha = 0.050000 ---- MSE = 0.002488
delta = 0.001000  ,  alpha = 0.010000 ---- MSE = 0.007990
delta = 0.001000  ,  alpha = 0.005000 ---- MSE = 0.014935
delta = 0.001000  ,  alpha = 0.001000 ---- MSE = 0.035215
delta = 0.001000  ,  alpha = 0.000500 ---- MSE = 0.042474
delta = 0.001000  ,  alpha = 0.000100 ---- MSE = 0.063612
delta = 0.001000  ,  alpha = 0.000050 ---- MSE = 0.070213
delta = 0.001000  ,  alpha = 0.000010 ---- MSE = 0.076991
delta = 0.000500  ,  alpha = 0.100000 ---- MSE = 0.002191
delta = 0.000500  ,  alpha = 0.050000 ---- MSE = 0.002481
delta = 0.000500  ,  alpha = 0.010000 ---- MSE = 0.007910
delta = 0.000500  ,  alpha = 0.005000 ---- MSE = 0.014792
delta = 0.000500  ,  alpha = 0.001000 ---- MSE = 0.034864
delta = 0.000500  ,  alpha = 0.000500 ---- MSE = 0.041978
delta = 0.000500  ,  alpha = 0.000100 ---- MSE = 0.062662
delta = 0.000500  ,  alpha = 0.000050 ---- MSE = 0.069127
