delta = 0.000000  ,  alpha = 0.100000 ---- MSE = 0.000043
delta = 0.000000  ,  alpha = 0.050000 ---- MSE = 0.000076
delta = 0.000000  ,  alpha = 0.010000 ---- MSE = 0.000251
delta = 0.000000  ,  alpha = 0.005000 ---- MSE = 0.000526
delta = 0.000000  ,  alpha = 0.001000 ---- MSE = 0.014401
delta = 0.000000  ,  alpha = 0.000500 ---- MSE = 0.023963
delta = 0.000000  ,  alpha = 0.000100 ---- MSE = 0.006603
delta = 0.000000  ,  alpha = 0.000050 ---- MSE = 0.002084
delta = 0.000000  ,  alpha = 0.000010 ---- MSE = 0.001939
delta = 0.100000  ,  alpha = 0.100000 ---- MSE = 0.000055
delta = 0.100000  ,  alpha = 0.050000 ---- MSE = 0.000101
delta = 0.100000  ,  alpha = 0.010000 ---- MSE = 0.000394
delta = 0.100000  ,  alpha = 0.005000 ---- MSE = 0.000878
delta = 0.100000  ,  alpha = 0.001000 ---- MSE = 0.014665
delta = 0.100000  ,  alpha = 0.000500 ---- MSE = 0.022149
delta = 0.100000  ,  alpha = 0.000100 ---- MSE = 0.005540
delta = 0.100000  ,  alpha = 0.000050 ---- MSE = 0.001847
delta = 0.100000  ,  alpha = 0.000010 ---- MSE = 0.001997
delta = 0.050000  ,  alpha = 0.100000 ---- MSE = 0.000049
delta = 0.050000  ,  alpha = 0.050000 ---- MSE = 0.000088
delta = 0.050000  ,  alpha = 0.010000 ---- MSE = 0.000319
delta = 0.050000  ,  alpha = 0.005000 ---- MSE = 0.000693
delta = 0.050000  ,  alpha = 0.001000 ---- MSE = 0.014546
delta = 0.050000  ,  alpha = 0.000500 ---- MSE = 0.023034
delta = 0.050000  ,  alpha = 0.000100 ---- MSE = 0.006043
delta = 0.050000  ,  alpha = 0.000050 ---- MSE = 0.001956
delta = 0.050000  ,  alpha = 0.000010 ---- MSE = 0.001968
delta = 0.010000  ,  alpha = 0.100000 ---- MSE = 0.000044
delta = 0.010000  ,  alpha = 0.050000 ---- MSE = 0.000078
delta = 0.010000  ,  alpha = 0.010000 ---- MSE = 0.000264
delta = 0.010000  ,  alpha = 0.005000 ---- MSE = 0.000558
delta = 0.010000  ,  alpha = 0.001000 ---- MSE = 0.014432
delta = 0.010000  ,  alpha = 0.000500 ---- MSE = 0.023773
delta = 0.010000  ,  alpha = 0.000100 ---- MSE = 0.006486
delta = 0.010000  ,  alpha = 0.000050 ---- MSE = 0.002057
delta = 0.010000  ,  alpha = 0.000010 ---- MSE = 0.001945
delta = 0.005000  ,  alpha = 0.100000 ---- MSE = 0.000043
delta = 0.005000  ,  alpha = 0.050000 ---- MSE = 0.000077
delta = 0.005000  ,  alpha = 0.010000 ---- MSE = 0.000258
delta = 0.005000  ,  alpha = 0.005000 ---- MSE = 0.000542
delta = 0.005000  ,  alpha = 0.001000 ---- MSE = 0.014417
delta = 0.005000  ,  alpha = 0.000500 ---- MSE = 0.023868
delta = 0.005000  ,  alpha = 0.000100 ---- MSE = 0.006544
delta = 0.005000  ,  alpha = 0.000050 ---- MSE = 0.002070
delta = 0.005000  ,  alpha = 0.000010 ---- MSE = 0.001942
delta = 0.001000  ,  alpha = 0.100000 ---- MSE = 0.000043
