Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
2016-06-28,8096.05,8146.35,8086.85,8127.85,175724276.0,7777.39
2016-06-27,8039.35,8120.65,8039.35,8094.7,167462711.0,7614.06
2016-06-24,8029.1,8100.7,7927.05,8088.6,306803641.0,13263.08
2016-06-23,8201.15,8285.6,8188.3,8270.45,158852677.0,6805.86
2016-06-22,8213.65,8238.35,8153.25,8203.7,140268297.0,6377.69
2016-06-21,8255.4,8257.25,8202.15,8219.9,141161921.0,5978.26
2016-06-20,8115.75,8244.15,8107.35,8238.5,173750792.0,7392.97
2016-06-17,8176.65,8195.25,8135.8,8170.2,171842760.0,7741.9
2016-06-16,8180.65,8180.65,8074.45,8140.75,195028743.0,7764.57
2016-06-15,8139.4,8213.2,8123.15,8206.6,174953935.0,6945.89
2016-06-14,8134.4,8134.95,8069.5,8108.85,150042362.0,6003.23
2016-06-13,8102.25,8125.25,8063.9,8110.6,174916286.0,7343.99
2016-06-10,8180.25,8265.6,8162.85,8170.05,187757375.0,7853.83
2016-06-09,8273.35,8273.35,8184.6,8203.6,180293039.0,7973.1
2016-06-08,8285.5,8288.9,8252.05,8273.05,179710369.0,7614.02
2016-06-07,8235.55,8294.95,8216.4,8266.45,249365706.0,10462.49
2016-06-06,8228.75,8234.7,8186.05,8201.05,176885226.0,7657.92
2016-06-03,8246.2,8262.0,8209.85,8220.8,390652017.0,10762.52
2016-06-02,8156.9,8229.5,8154.75,8218.95,187316365.0,8389.69
2016-06-01,8179.2,8215.35,8171.05,8179.95,200371829.0,8408.53
2016-05-31,8209.85,8213.6,8134.3,8160.1,,
2016-05-27,8081.95,8164.2,8077.05,8156.65,268963949.0,10607.22
2016-05-26,7974.45,8083.0,7948.5,8069.65,272456307.0,12422.0
2016-05-24,7738.05,7761.55,7715.8,7748.85,151538169.0,6119.23
2016-05-23,7813.95,7820.6,7722.2,7731.05,177347948.0,7141.74
2016-05-20,7792.2,7812.4,7735.75,7749.7,,
2016-05-19,7875.5,7876.2,7766.8,7783.4,175711829.0,7163.38
2016-05-18,7846.75,7882.05,7810.75,7870.15,161169418.0,7333.13
2016-05-17,7896.85,7940.1,7879.7,7890.75,189140810.0,8195.95
2016-05-16,7831.2,7873.9,7772.15,7860.75,211547775.0,7790.24
2016-05-13,7881.0,7881.0,7784.2,7814.9,185061782.0,10152.08
2016-05-12,7871.45,7916.05,7849.65,7900.4,157444918.0,7171.91
2016-05-11,7804.65,7893.1,7780.9,7848.85,220712496.0,9394.05
2016-05-10,7873.55,7896.9,7837.7,7887.8,166957276.0,7306.72
2016-05-09,7755.25,7873.65,7753.55,7866.05,165616829.0,7559.77
2016-05-06,7717.65,7738.9,7678.35,7733.45,168662226.0,6296.51
2016-05-05,7731.0,7777.55,7706.85,7735.5,190792828.0,8089.45
2016-05-04,7724.15,7749.0,7697.25,7706.55,205939089.0,7816.27
2016-05-03,7824.8,7890.25,7735.15,7747.0,,
2016-05-02,7822.7,7829.8,7777.3,7805.9,150818181.0,6079.16
2016-04-29,7844.25,7889.05,7788.7,7849.8,,
2016-04-28,7967.4,7992.0,7834.45,7847.25,301485186.0,14943.3
2016-04-27,7942.0,7991.0,7940.55,7979.9,213174058.0,9669.04
2016-04-26,7828.15,7974.5,7822.55,7962.65,208656803.0,9686.21
2016-04-25,7894.8,7911.0,7827.0,7855.05,150776959.0,7362.13
2016-04-22,7891.8,7923.35,7873.35,7899.3,,
2016-04-21,7953.65,7978.45,7884.1,7912.05,230577117.0,9613.3
2016-04-20,7950.05,7950.4,7877.55,7914.75,211630060.0,10069.83
2016-04-18,7908.15,7920.6,7842.75,7914.7,190258561.0,10356.03
2016-04-13,7777.15,7864.8,7772.2,7850.45,227217288.0,10071.44
2016-04-12,7669.25,7717.4,7663.35,7708.95,168508978.0,6945.44
2016-04-11,7577.8,7678.8,7516.85,7671.4,185353268.0,7055.61
2016-04-08,7542.35,7569.35,7526.7,7555.2,147816460.0,5981.23
2016-04-07,7630.4,7630.75,7535.85,7546.45,241684050.0,7709.23
2016-04-06,7636.05,7638.65,7591.75,7614.35,170653808.0,6802.69
2016-04-05,7736.3,7736.3,7588.65,7603.2,210126897.0,8412.34
2016-04-04,7733.15,7764.45,7704.4,7758.8,160277940.0,6506.44
2016-04-01,7718.05,7740.15,7666.1,7713.05,189571551.0,8118.47
2016-03-30,7651.1,7741.95,7643.45,7735.2,239843751.0,9908.6
